itemid,title,genres,rating,region
46,From Hurghada: Giftun Island Snorkeling Day Trip,trip|low-price|snorkling|ride|short,3,Hurghada
47,Cairo: Egyptian Museum & Khan El-Khalili,trip|low-price|ancientEgypt|short,4.5,Cairo
48,Cairo Day Tour with Entry Fees and Lunch,trip|moderate-price|ancientEgypt|short,3.5,Cairo
49,Hurghada: 5-Hour Quad Bike Desert Safari and Barbecue,trip|moderate-price|safari|short,2.5,Hurghada
50,Cairo: Nile River Dinner Cruise with Entertainment,trip|moderate-price|cruise|short,3,Cairo
52,Cairo 4-Hour Guided Tour of the Egyptian Museum,trip|high-price|ancientEgypt|short,2.5,Cairo
53,One-Way Transfer: Hurghada Airport to Makadi Bay,trip|moderate-price|ride|short,2,Hurghada
54,Giza Pyramids and Egyptian Museum Full-Day Tour,trip|low-price|ancientEgypt|short,3,Cairo
55,From Hurghada: Full-Day Trip to Cairo by Plane,trip|high-price|ancientEgypt|fullDay,3.5,Hurghada
57,Sharm el-Sheikh: Evening Desert Tour with Bedouin Dinner,trip|moderate-price|ride|safari|short,4,Sharm
58,From Hurghada: Full-Day Tour of Luxor,trip|high-price|ancientEgypt|short,4.5,Hurghada
59,Quad Runner Bike Adventure: Sharm el Sheikh,trip|moderate-price|ride|safari|short,4.5,Sharm
60,Half-Day Red Sea Dive from Hurghada or El Gouna,trip|moderate-price|submarine|diving|short,2.5,Hurghada
61,From Hurghada: Full-Day Tour to East & West Banks in Luxor,trip|moderate-price|ride|cruise|ancientEgypt|short,3,Hurghada
62,Half-Day Tour of Old Cairo & Khan El Khalili Bazaar,trip|high-price|ancientEgypt|short,3,Cairo
63,Hurghada Grand Aquarium Entry Ticket and Tour,trip|moderate-price|sea|submarine|short,4,Hurghada
64,Cairo Day Tour from Sharm El Sheikh by Air,trip|high-price|ancientEgypt|fullDay,2.5,Cairo
65,Sound and Light Show at the Karnak Temple Complex,trip|moderate-price|ancientEgypt|short,3,Cairo
66,All-Inclusive Guided Tour of Luxor from Cairo by Plane,trip|high-price|ancientEgypt|cruise|short,4,Luxor
68,From Marsa Alam: Full-Day Tour of Cairo with Flights,trip|high-price|ancientEgypt|fullDay,4.5,Marsa Alam
69,"Cairo, Giza Pyramids, Memphis & Sakkara Day Tour",trip|high-price|ancientEgypt|fullDay,3.5,Cairo
70,Hurghada: Sunset Desert Safari by Dune Buggy,trip|high-price|ride|safari|short,3,Hurghada
71,From Aswan: Private Tour to Abu Simbel,trip|high-price|cruise|ancientEgypt|short,3.5,Aswan
72,Paradise Island : Full–Day Snorkeling and Island Tour,trip|moderate-price|cruise|sea|snorkling|fullDay,5,Sharm
73,Hurghada: Private City Tour,trip|moderate-price|cruise|sea|ride|ancientEgypt|fullDay,4,Hurghada
74,Cairo: Day Tour from Sharm el Sheikh,trip|high-price|cruise|ancientEgypt|fullDay,3.5,Sharm
76,Cairo: 2-Day Bahariya Oasis Camp with White & Black Deserts,trip|high-price|safari|ride|long,5,Cairo
77,"Hurghada: 6-Hour 4WD Desert Safari, Dinner, and Show",trip|moderate-price|safari|ride|short,4,Hurghada
78,"Giza Pyramids, Sakkara and Memphis Museum Guided Tour",trip|moderate-price|ancientEgypt|short,3.5,Cairo
79,Cairo: Camel or Horse Ride By the Pyramids,trip|high-price|ancientEgypt|safari|ride|short,4,Cairo
80,Half-Day Cairo Sightseeing Tour to Pyramids of Giza & Sphinx,trip|moderate-price|ancientEgypt|ride|short,4,Cairo
81,Full-Day Snorkeling Trip to Utopia Island from Hurghada,trip|moderate-price|diving|snorkling|sea|submarine|short,4.5,Hurghada
82,From Cairo: Full-Day Tour of Giza Pyramids & Simon Cave,trip|high-price|ancientEgypt|fullDay,3.5,Cairo
83,Full-Day Scuba Diving Tour with Lunch & Pick-Up,trip|moderate-price|diving|sea|cruise|fullDay,4,Sharm
84,From Hurghada: Pirates Premier Sailing Boat Trip,trip|high-price|diving|sea|submarine|snorkling|short,3.5,Hurghada
85,From Sharm: Introduction to Scuba Diving with Lunch,trip|moderate-price|diving|sea|submarine|snorkling|short,4,Sharm
86,From Sharm el-Sheikh: Mount Sinai Sunrise Climb,trip|high-price|ride|safari|climb|short,3.5,Sharm
87,"""Cairo Citadel, Old Cairo & Khan El Khalili Full-Day Tour",trip|high-price|ancientEgypt|fullDay,4,Cairo
88,Sharm el-Sheikh: Panoramic Submarine Adventure,trip|high-price|submarine|diving|sea|short,4.5,Sharm
89,"Hurghada Jungle Aqua Park Tickets, Transfer, and Lunch",trip|high-price|diving|sea|short,4,Hurghada
92,Full-Day Snorkeling Tour to Utopia Island with Pick-Up,trip|moderate-price|snorkling|submarine|diving|sea|fullDay,5,Hurghada
93,Snorkeling Adventure: Ras Mohammed National Park by Boat,trip|moderate-price|snorkling|submarine|diving|sea|short,5,Ras Mohammed 
94,From Marsa Alam: Day Trip to Luxor by Bus,trip|high-price|ancientEgypt|fullDay,4.5,Luxor
95,Cairo Food Tour,trip|high-price|vegetarianFriendly|seaFood|short,2,Cairo
96,Desert Safari by Quad Bike Around Pyramids,trip|high-price|safari|ancientEgypt|ride|short,3,Cairo
97,Day Trip to Old Cairo and 3-Hour Dinner Cruise,trip|high-price|safari|ancientEgypt|cruise|short,3,Cairo
98,Giza Pyramids & Egyptian Museum from Hurghada by Bus,trip|high-price|safari|ancientEgypt|cruise|fullDay,3.5,Hurghada
99,Hurghada: 3-Hour Morning Quad Safari,trip|moderate-price|safari|ride|short,3.5,Hurghada
100,Hurghada: Full-Day Scuba Diving Adventure Tour with Lunch,trip|moderate-price|diving|snorkling|sea|submarine|short,4,Hurghada
101,From Cairo: Alexandria Day Tour,trip|moderate-price|diving|sea|ancientEgypt|short,4,Cairo
102,Cairo: Tahrir Square Tour & Egyptian Museum,trip|moderate-price|ancientEgypt|short,3.5,Cairo
103,Dolphin Red Sea Clear Water Snorkeling,trip|low-price|snorkling|sea|short,4,Dahab
104,Sharm: Tiran Island Snorkeling Day Trip with Lunch,trip|moderate-price|snorkling|sea|climb|short,4.5,Sharm
105,From Hurghada: Cairo Full-Day Tour including Flights,trip|moderate-price|ancientEgypt|short,3.5,Hurghada
107,From Cairo: Overnight Trip to Alexandria,trip|moderate-price|ancientEgypt|sea|short,4,Cairo
108,From Makadi Bay: Day Trip to Cairo by Bus,trip|high-price|ancientEgypt|fullDay,2,Cairo
110,Sharm : Quad Bike Safari Adventure with Transfers,trip|low-price|safari|ride|climb|short,5,Sharm
111,Hurghada Dolphin Show Tickets and Transfer,trip|moderate-price|short,5,Hurghada
112,From Marsa Alam: All-in-One Super Desert Safari,trip|high-price|safari|ride|climb|short,4.5,Marsa Alam
113,Cairo: 2-Hour Felucca Ride on the Nile,trip|high-price|ride|cruise|short,3,Cairo
114,Marsa Alam: Sunset Desert Safari Excursion By Quad Bike,trip|high-price|safari|ride|short,2.5,Marsa Alam
116,"""Hurghada: 6-Hour Evening Experience with Show & Dinner",trip|high-price|short|ride|safari,2.5,Hurghada
117,From Hurghada: Sharm El Naga Full-Day Snorkeling Tour,trip|high-price|sea|ride|snorkling|short,3,Hurghada
118,Hurghada: Classic Family Red Sea Cruise,trip|high-price|sea|cruise|snorkling|short,4,Hurghada
119,7-Hour Desert Safari from Sharm el-Sheikh,trip|high-price|ride|safari|short,4,Sharm
121,Cario: Pyramids Viewpoints Tour,trip|high-price|ancientEgypt|short,3.5,Cairo
122,Cairo Day Trip with Egyptian Museum Tickets: From El Gouna,trip|high-price|ancientEgypt|fullDay,4,Hurghada
123,Cairo: Best Kept Secrets Tour,trip|high-price|ancientEgypt|short,2,Cairo
124,Aswan to Luxor: 3-Day Guided Tour with Transfers,trip|high-price|ancientEgypt|long,4.5,Aswan
125,"""Hurghada: Day Trip to Pyramids, Memphis & Sakkara by Flight",trip|high-price|ancientEgypt|fullDay,3,Hurghada
126,Mahmya Island Full-Day Snorkel Tour from Hurghada,trip|high-price|sea|submarine|diving|snorkling|short,4,Hurghada
129,Aswan 4-Day Nile Cruise to Luxor,trip|high-price|ancientEgypt|cruise|long,4,Aswan
130,Sharm el-Sheikh Day Tiran Island ,trip|high-price|sea|snorkling|fullDay,2.5,Sharm
131,Ras Mohamed Park Snorkel,trip|high-price|sea|snorkling|fullDay,4.5,Ras Mohammed 
132,From Makadi Bay: Desert Jeep Safari,trip|high-price|safari|ride|short,4,Dahab
135,Sharm el-Sheikh: Snorkel & Camel Safari at Blue Hole,trip|high-price|safari|ride|diving|snorkling|short,5,Sharm
137,3-Hour Sinbad Submarine Red Sea Tour from Hurghada,trip|high-price|sea|submarine|short,4,Hurghada
140,"Hurghada: Super Safari Quad Bike, Camel Ride & Bedouin BBQ",trip|moderate-price|safari|ride|short,4.5,Hurghada
141,Marsa Alam: diving trip,trip|moderate-price|diving|snorkling|fullDay,4,Marsa Alam
144,Great Pyramid Inside - Sphinx and Solar Boat Trip,trip|high-price|cruise|ancientEgypt|fullDay,3.5,Cairo
145,Wadi El Natrun: Full-Day Monasteries Tour from Alexandria,trip|high-price|ride|ancientEgypt|short,2.5,Alexandria
146,Sound and Light Show at Philae Temple,trip|moderate-price|ancientEgypt|short,3.5,Aswan
147,From Marsa Alam: Beach and Snorkelling With Sea Turtles,trip|high-price|snorkling|sea|fullDay,3,Marsa Alam
148,Carnival Super Snorkeling Spot Day Trip from Hurghada,trip|moderate-price|snorkling|sea|short,3.5,Hurghada
149,porto sohkna travel from cairo,trip|moderate-price|snorkling|sea|parsailing|ride|long,5,Cairo
150,Wadi El Natrun Tour from Alexandria,trip|high-price|ancientEgypt|fullDay,4.5,Alexandria
151,"Aswan Philae Temple, Obelisk and High Dam Tour",trip|high-price|ancientEgypt|cruise|short,4.5,Aswan
152,"Discover Mosque, Church and Harbor with Local Guide",trip|moderate-price|ancientEgypt|cruise|sea|submarine|short,4,Hurghada
153,4-Day Nile Cruise from Aswan to Luxor,trip|high-price|cruise|ancientEgypt|long,4.5,Aswan
154,Cheops Pyramids with Transfer and Options,trip|moderate-price|ancientEgypt|short,3.5,Cairo
155,Egyptian Museum of Antiquities Entrance Ticket,trip|low-price|ancientEgypt|fullDay,3,Cairo
156,Budget Egypt Nile Cruise from Aswan to Luxor,trip|high-price|cruise|ancientEgypt|long,3.5,Aswan
157,Sharm El Sheikh Bedouin Village and Dinner Tour,trip|high-price|safari|ride|short,4.5,Sharm
158,From Alexandria: El Alamein Day Tour,trip|high-price|sea|ancientEgypt|fullDay,4,Alexandria
159,Cairo: Half-Day Mummies & Pyramids Tour,trip|high-price|ancientEgypt|fullDay,2.5,Cairo
160,From Luxor to Aswan 5 Day 5 Star Nile Cruise Guided Tour,trip|high-price|cruise|ancientEgypt|long,4.5,Luxor
161,Sharm: Overnight Moses Mountain Climb & Sunrise Breakfast,trip|moderate-price|climb|ancientEgypt|fullDay,4,Sharm
162,Aswan 4-Day Nile Cruise with Cairo & Luxor Night Train,trip|high-price|cruise|ancientEgypt|long,4.5,Aswan
163,Aswan: Full-Day Private Tour to Abu Simbel Temples,trip|high-price|cruise|ancientEgypt|fullDay,3.5,Aswan
164,Cairo: Private Two-Day Tour,trip|high-price|cruise|ancientEgypt|long,3,Cairo
165,The Grand Egyptian Museum and Giza Pyramids with Transfer,trip|moderate-price|ancientEgypt|short,3,Cairo
166,"Transfer to Giza Pyramids, Memphis and Sakkara",trip|high-price|ancientEgypt|short,2.5,Cairo
167,Cairo: Pyramid of Djoser & Dahshur Tour,trip|high-price|ancientEgypt|short,3.5,Cairo
168,"""Hurghada: Private Fishing Boat Full-Day Trip with Lunch",trip|high-price|snorkling|sea|diving|fullDay,3,Hurghada
169,Cairo at Night: 4-Hour City Tour & Nile Felucca Cruise,trip|high-price|cruise|short,3,Cairo
170,Aswan Sound Light Show: Philae Temple,trip|moderate-price|cruise|ancientEgypt|short,3.5,Aswan
171,Mini Egypt Park Tickets with Transfer from Hurghada,trip|moderate-price|ancientEgypt|short,3.5,Hurghada
172,"""Marsa Alam: Ancient Cairo & Giza Pyramids Day Trip by Plane",trip|high-price|ancientEgypt|fullDay,4,Marsa Alam
173,Hurghada: Red Sea Royal Cruise Tour with Snorkeling,trip|high-price|sea|snorkling|diving|fullDay,3,Hurghada
174,Marsa Alam: Wadi El Gemal National Park,trip|high-price|safari|ride|short,3.5,Marsa Alam
175,Dahab trip,trip|moderate-price|safari|sea|snorkling|parsailing|ride|long,5,Dahab
176,"""Hurghada: Day Tour Super Giftun Island Snorkeling with Lunch",trip|moderate-price|safari|sea|snorkling|submarine|short,4,Hurghada
177,"From Cairo: Pyramids, Memphis, and Sakkara Visit",trip|high-price|ancientEgypt|short,4,Cairo
178,Cairo: Full-Day Islamic and Coptic Cairo Excursion,trip|high-price|ancientEgypt|fullDay,2.5,Cairo
179,Alexandria: Archeological Day Tour,trip|low-price|sea|ancientEgypt|fullDay,3,Cairo
180,One Day Jeep Safari From Dahab,trip|moderate-price|safari|ride|fullDay,3.5,Dahab
181,Sharm El-Sheikh Full-Day Scuba Diving Tour,trip|high-price|diving|sea|submarine|short,4.5,Sharm
183,Glass Bottom Boat,trip|low-price|snorkling|sea|submarine|short,5,Sharm
184,from cairo : porto sokhna peach,trip|low-price|snorkling|sea|parsailing|fullDay,4.5,Cairo
185,Best of Cairo: Day Trip from Alexandria,trip|high-price|ancientEgypt|fullDay,3.5,Alexandria
186,know Cairo: Day Trip from Alexandria,trip|low-price|ancientEgypt|fullDay,5,Alexandria
187,"Rosetta: Day Tour""",trip|high-price|ancientEgypt|cruise|fullDay,4,Alexandria
188,Cairo Stopover from Airport,trip|high-price|ancientEgypt|fullDay,2.5,Cairo
189,Marsa Alam: Semi Submarine,trip|low-price|sea|submarine|short,4.5,Marsa Alam
190,From El Gouna: Sahara Dune Buggy Adventure,trip|high-price|safari|ride|short,3,Hurghada
191,Hurghada: 2-Hour Speedboat with Snorkelling Tour,trip|high-price|snorkling|submarine|short,3,Hurghada
193,Cairo Full-Day Bus Tour from Hurghada,trip|moderate-price|ancientEgypt|cruise|fullDay,3.5,Hurghada
194,Marsa Alam: Snorkeling at Abu Dabab Beach,trip|moderate-price|snorkling|sea|short,4,Marsa Alam
195,From Hurghada: Paradise Island Full-Day Snorkeling Tour,trip|high-price|snorkling|sea|short,4,Hurghada
196,From Hurghada: Cairo 2-Day Tour incl. Flights and Hotel,trip|high-price|ancientEgypt|cruise|long,3.5,Hurghada
198,From Makadi Bay: Full-Day Tour of Luxor by Bus,trip|high-price|ancientEgypt|cruise|fullDay,4,Luxor
199,Hurghada: Makadi Water World Entrance Ticket,trip|moderate-price|sea|ride|short,2.5,Hurghada
200,Cairo: Private 2-Day Tour,trip|moderate-price|ancientEgypt|cruise|long,4,Cairo
201,From Marsa Alam: Habu Temple & Valley of the Queens Day Trip,trip|high-price|ancientEgypt|fullDay,3.5,Marsa Alam
202,Cairo: Giza Pyramids and River Nile Tour,trip|high-price|ancientEgypt|cruise|short,4,Cairo
203,Cairo: Full-Day Pyramid Tour and Egyptian Museum,trip|moderate-price|ancientEgypt|fullDay,3.5,Cairo
204,Alexandria: Day Tour,trip|moderate-price|ancientEgypt|sea|fullDay,5,Alexandria
205,Bedouin Dinner and Camel Ride,trip|moderate-price|ride|safari|fullDay,4.5,Cairo
206,Aswan Trip by Nile Felluca,trip|low-price|cruise|short,5,Aswan
207,Felucca Ride on the Nile in Aswan,trip|low-price|cruise|short,4.5,Aswan
208,Tell El Amarna: Full Day Tour,trip|moderate-price|ancientEgypt|fullDay,5,Luxor
209,From El Gouna: Dry Canyon Quad Bike Tour,trip|high-price|ancientEgypt|safari|ride|fullDay,4,Hurghada
211,Ras Mohammed National Park: Snorkelling Trip,trip|moderate-price|ancientEgypt|snorkling|sea|short,4.5,Sharm
213,Pyramids of Giza and Great Sphinx Half-Day Tour,trip|moderate-price|ancientEgypt|safari|short,4,Cairo
214,Great Pyramids of Giza Half-Day Adventure,trip|low-price|ancientEgypt|short,3.5,Cairo
215,Egyptian Pyramid Tour,trip|high-price|ancientEgypt|safari|ride|short,3.5,Cairo
216,Sofitel Cairo El Gezirah,Hotel|high-price|Pool|BabySitting,4.5,Cairo
217,Le Meridien Cairo Airport,Hotel|moderate-price|Pool,4.5,Cairo
218,Conrad Cairo,Hotel|moderate-price|Pool|Family,4.5,Cairo
219,Le Passage Cairo,Hotel|moderate-price|Pool|BabySitting,4.5,Cairo
220,Fairmont Nile City,Hotel|moderate-price|Pool|BabySitting|Family,4.5,Cairo
222,Kempinski Nile Hotel Cairo,Hotel|moderate-price|Nile,4.5,Cairo
223,Windsor Hotel Cairo,Hotel|low-price|Pool|Family,4,Cairo
224,City View Hotel,Hotel|low-price|Pool,4,Cairo
225,Renaissance Cairo Mirage City Hotel,Hotel|moderate-price|Pool|Family,4.5,Cairo
227,Cairo Marriott Hotel & Omar Khayyam Casino,Hotel|moderate-price|Pool|Luxury|Family,4.5,Cairo
228,Royal Maxim Palace Kempinski,Hotel|high-price|Pool|Luxury|Family|Trendy,4.5,Cairo
229,Freedom Hostel,Hotel|low-price,4.5,Cairo
230,Hilton Cairo Heliopolis,Hotel|high-price|Pool|BabySitting,4,Cairo
231,Osiris Hotel,Hotel|moderate-price|Pool,4.5,Cairo
232,JW Marriott Hotel Cairo,Hotel|moderate-price|Pool|Family|Trendy,4,Cairo
233,Concorde El Salam Hotel Cairo by Royal Tulip,Hotel|moderate-price|Pool|Family,4,Cairo
234,InterContinental Cairo Semiramis,Hotel|moderate-price|Pool,4.5,Cairo
235,InterContinental Cairo Citystars,Hotel|moderate-price|Pool|Pets,4.5,Cairo
236,Holiday Inn Cairo – Citystars,Hotel|moderate-price|Pool|Pets|BabySitting,4,Cairo
237,Heliopolis Towers Hotel,Hotel|moderate-price|Pool|BabySitting,4.5,Cairo
238,Staybridge Suites Cairo-Citystars,Hotel|high-price|Luxury|Nile,4.5,Cairo
239,Novotel Cairo Airport,Hotel|high-price|Pets|Nile,3.5,Cairo
240,Ramses Hilton,Hotel|moderate-price|Pool|Nile,4,Cairo
241,Novotel Cairo El Borg,Hotel|moderate-price|Pool|Family,4,Cairo
242,Hilton Cairo Zamalek Residences,Hotel|moderate-price|Pool|Family,4,Cairo
243,Four Seasons Hotel Cairo at Nile Plaza,Hotel|high-price|Pool|Trendy,4.5,Cairo
244,"The Nile Ritz-Carlton, Cairo",Hotel|high-price|Pool|BabySitting|Family,4.5,Cairo
245,"Sonesta Hotel, Tower & Casino Cairo",Hotel|moderate-price|Pool|Trendy,4,Cairo
246,Grand Nile Tower,Hotel|high-price|Luxury|Nile,3.5,Cairo
247,Hotel Grand Royal,Hotel|low-price|Pool|Pets|Trendy,4,Cairo
248,Al Masa Hotel,Hotel|moderate-price|Family|Trendy,4.5,Cairo
249,"The Westin Cairo Golf Resort & Spa, Katameya Dunes",Hotel|high-price|Family|Luxury,4,Cairo
250,Baron Hotel Heliopolis Cairo,Hotel|moderate-price|Pool|Luxury,4,Cairo
251,One Season Hostel,Hotel|low-price|Pool|Luxury,4.5,Cairo
252,Cairo International Hostel,Hotel|low-price|Family|Luxury,4.5,Cairo
253,Le Meridien Heliopolis,Hotel|moderate-price|Pool|Luxury|Family,3.5,Cairo
254,Paradise Boutique Hotel,Hotel|low-price|Trendy,4,Cairo
255,Holiday Inn Cairo Maadi,Hotel|high-price|Pool|BabySitting|Family,4,Cairo
256,Novotel Cairo 6th Of October,Hotel|high-price|Pool|Family,3.5,Cairo
257,Cecilia Hotel,Hotel|low-price|Trendy|Family,4,Cairo
258,The Gabriel Hotel,Hotel|low-price|Pool|Family|Luxury,4,Cairo
259,Cairo Paradise Hotel,Hotel|low-price|Pool,4.5,Cairo
260,Hostgram Hostel,Hotel|low-price|Pool|Family,5,Cairo
261,Cairo Moon Hotel,Hotel|low-price|PoolFamily,4.5,Cairo
262,Tahrir Square Hostel,Hotel|low-price|Trendy,5,Cairo
263,New Minerva,Hotel|low-price|Trendy,5,Cairo
264,Paris Hotel,Hotel|low-price|Trendy,4.5,Cairo
265,Meramees Hostel,Hotel|low-price|Pool,4,Cairo
266,Bella Luna,Hotel|low-price|Pool,4.5,Cairo
267,The Australian Hostel,Hotel|low-price|Pool|Family,4,Cairo
268,My Hotel,Hotel|low-price|Pool|Trendy,4,Cairo
269,Wake UP Cairo Hostel,Hotel|low-price|Pool|Trendy,4.5,Cairo
270,Havana Hotel Cairo,Hotel|moderate-price|Pool,4,Cairo
271,Talisman Hotel de Charme,Hotel|moderate-price|Pool,4,Cairo
272,Miami Cairo Hostel,Hotel|low-price|Pool|family,4.5,Cairo
273,Pension Roma,Hotel|low-price|Pool,4,Cairo
274,Hotel Royal,Hotel|low-price|BabySitting|family,4,Cairo
275,"Radisson Blu Hotel, Cairo Heliopolis",Hotel|moderate-price|Pool,3.5,Cairo
276,Midtown Hostel,Hotel|moderate-price|Family,3.5,Cairo
277,Invitation Hotel,Hotel|low-price|Pool,3.5,Cairo
278,African House Hotel,Hotel|low-price|Pool,3.5,Cairo
279,Azar Hotel,Hotel|low-price,4,Cairo
280,Arabesque Hotel,Hotel|low-price|Pool,3.5,Cairo
281,The Karvin Hotel,Hotel|moderate-price|Pool|Trendy,3.5,Cairo
282,Museum House Hostel,Hotel|low-price|Pool,4,Cairo
283,Tolip Golden Plaza Hotel,Hotel|moderate-price|Pool|Luxury,3.5,Cairo
285,Mesho Inn Hostel,Hotel|low-price|Trendy,4,Cairo
287,Sakkara Inn Hotel,Hotel|low-price|Trendy,4.5,Cairo
288,Swiss Inn Hotel Cairo,Hotel|moderate-price|Pool|Trendy,3.5,Cairo
289,Horus House Hotel,Hotel|moderate-price|Pool|Pets,3.5,Cairo
290,Glorious Hotel,Hotel|moderate-price,4,Cairo
291,Amin Hotel,Hotel|moderate-price|Trendy,4,Cairo
292,Cheops Pyramids Inn,Hotel|low-price|Trendy,3,Cairo
293,Capital Hotel,Hotel|low-price,3.5,Cairo
294,King Tut Hostel,Hotel|low-price|Trendy,4,Cairo
295,Pyramids Loft Guesthouse,Hotel|low-price,5,Cairo
296,Sun Hotel,Hotel|low-price|Pool,4,Cairo
299,Family Palace Hotel,Hotel|low-price|Pool,4.5,Cairo
300,Isis Hotel 2,Hotel|low-price,4.5,Cairo
301,Voyage Hotel,Hotel|low-price,3,Cairo
302,Ramses Palace Hotel,Hotel|low-price|Trendy,4,Cairo
303,Almasa Royal Palace,Hotel|moderate-price|Pool|Family|Luxury,4.5,Cairo
304,Arabia Hotel,Hotel|moderate-price|Trendy,4,Cairo
305,Tolip EL Narges,Hotel|moderate-price|Pool|Luxury,3.5,Cairo
306,Grand Hotel,Hotel|moderate-price|Pool|Luxury|Family,3.5,Cairo
307,Eco Inn,Hotel|moderate-price|Trendy,4.5,Cairo
308,Safari Hotel,Hotel|low-price|Trendy,4,Cairo
309,African House Hotel,Hotel|low-price|Trendy|Pool,3.5,Cairo
312,Midtown Hostel,Hotel|low-price|Trendy|Family,3.5,Cairo
313,Invitation Hotel,Hotel|low-price|Trendy|Pool,3.5,Cairo
314,Almasa Royal Palace,Hotel|high-price|Family|Pool|Luxury,4.5,Cairo
315,Miramar Downtown Hotel,Hotel|moderate-price|Trendy,4,Cairo
